School Year,School Authority Category,School Authority Name,School Authority Code,Ungraded,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
1995/1996,Public,Horizon School Division No. 67 ,1045,,180,316,303,306,304,300,290,285,272,246,238,193,228,3461
1995/1996,Public,Prairie Rose Regional Division No. 8 ,1055,2,228,347,296,300,337,330,313,318,314,285,159,116,162,3507
1995/1996,Public,Peace River School Division No. 10 ,1070,,172,331,328,340,325,367,332,349,356,319,336,315,285,4155
1995/1996,Public,Grande Yellowhead Regional Division No. 35 ,1085,,474,534,466,510,475,510,512,517,517,558,574,549,551,6747
1995/1996,Public,Sturgeon School Division No. 24 ,1110,55,346,354,369,354,370,385,358,367,376,364,377,373,434,4882
1995/1996,Public,Prairie Land Regional Division No. 25 ,1115,,169,174,172,199,190,163,195,186,190,167,141,148,164,2258
1995/1996,Public,Livingstone Range School Division No. 68 ,1135,4,315,369,350,370,383,420,429,438,441,416,419,356,453,5163
1995/1996,Public,Buffalo Trail Regional Division No. 28 ,1155,1,257,441,387,381,446,425,425,422,440,381,356,408,395,5165
1995/1996,Public,Pembina Hills Regional Division No. 7 ,1175,1,358,366,377,380,387,419,401,410,435,408,422,382,452,5198
1995/1996,Public,Foothills School Division No. 38 ,1180,36,205,474,477,485,522,535,526,474,494,506,475,436,529,6174
1995/1996,Public,Rocky View School Division No. 41 ,1190,,412,810,863,826,961,890,947,984,935,895,872,832,841,11068
1995/1996,Public,High Prairie School Division No. 48 ,1220,,278,309,257,276,271,270,279,273,276,264,262,247,269,3531
1995/1996,Public,Northern Lights School Division No. 69 ,1245,,482,627,489,573,555,541,527,497,494,503,467,418,470,6643
1995/1996,Public,Fort Vermilion School Division No. 52 ,1250,,225,294,250,241,264,234,249,248,209,232,215,142,117,2920
1995/1996,Public,Northland School Division No. 61 ,1280,14,141,383,344,281,297,311,313,294,210,183,140,57,64,3032
1995/1996,Public,Wild Rose School Division No. 66 ,1325,,216,445,442,482,419,420,489,460,470,471,426,406,497,5643
1995/1996,Public,Grasslands Regional Division No. 6 ,2045,,219,320,349,291,306,338,313,325,338,294,269,282,291,3935
1995/1996,Public,Clearview Regional Division No. 24 ,2065,,82,238,245,235,224,224,271,260,251,272,227,224,265,3018
1995/1996,Public,Wetaskiwin Regional Division No. 11 ,2115,56,326,383,365,366,372,381,371,405,368,345,434,312,415,4899
1995/1996,Public,Aspen View Regional Division No. 19 ,2125,,243,274,295,285,266,352,347,328,274,319,294,270,253,3800
1995/1996,Public,Wolf Creek Regional Division No. 32 ,2145,14,287,650,596,603,706,615,619,640,644,583,617,556,656,7786
1995/1996,Public,Golden Hills Regional Division No. 15 ,2155,,396,472,488,487,450,495,474,482,478,404,464,402,431,5923
1995/1996,Public,St. Paul Education Regional Division No. 1 ,2185,,260,329,299,312,303,318,305,313,326,293,334,300,302,3994
1995/1996,Public,Elk Island Public Schools Regional Division No. 14 ,2195,,924,1085,1058,1023,1151,1099,1127,1160,1134,1162,1156,1166,1505,14750
1995/1996,Public,Chinook's Edge Regional Division No. 5 ,2225,,407,887,857,825,868,847,869,837,916,781,883,785,809,10571
1995/1996,Public,Black Gold Regional Division No. 18 ,2245,32,641,614,661,627,610,657,697,654,649,616,645,656,766,8525
